player,team,lg,season,replaced,conference,team_captain
Bam Adebayo,East,NBA,2024,FALSE,East,N/A
Giannis Antetokounmpo,East,NBA,2024,FALSE,East,N/A
Paolo Banchero,East,NBA,2024,FALSE,East,N/A
Scottie Barnes,East,NBA,2024,FALSE,East,N/A
Jaylen Brown,East,NBA,2024,FALSE,East,N/A
Jalen Brunson,East,NBA,2024,FALSE,East,N/A
Joel Embiid,East,NBA,2024,FALSE,East,N/A
Tyrese Haliburton,East,NBA,2024,FALSE,East,N/A
Damian Lillard,East,NBA,2024,FALSE,East,N/A
Tyrese Maxey,East,NBA,2024,FALSE,East,N/A
Donovan Mitchell,East,NBA,2024,FALSE,East,N/A
Julius Randle,East,NBA,2024,FALSE,East,N/A
Jayson Tatum,East,NBA,2024,FALSE,East,N/A
Trae Young,East,NBA,2024,FALSE,East,N/A
Devin Booker,West,NBA,2024,FALSE,West,N/A
Stephen Curry,West,NBA,2024,FALSE,West,N/A
Anthony Davis,West,NBA,2024,FALSE,West,N/A
Luka Dončić,West,NBA,2024,FALSE,West,N/A
Kevin Durant,West,NBA,2024,FALSE,West,N/A
Anthony Edwards,West,NBA,2024,FALSE,West,N/A
Paul George,West,NBA,2024,FALSE,West,N/A
Shai Gilgeous-Alexander,West,NBA,2024,FALSE,West,N/A
LeBron James,West,NBA,2024,FALSE,West,N/A
Nikola Jokić,West,NBA,2024,FALSE,West,N/A
Kawhi Leonard,West,NBA,2024,FALSE,West,N/A
Karl-Anthony Towns,West,NBA,2024,FALSE,West,N/A
Bam Adebayo,Team Giannis,NBA,2023,FALSE,East,Giannis
Giannis Antetokounmpo,Team Giannis,NBA,2023,FALSE,East,Giannis
DeMar DeRozan,Team Giannis,NBA,2023,FALSE,East,Giannis
Kevin Durant,Team Giannis,NBA,2023,FALSE,East,Giannis
Shai Gilgeous-Alexander,Team Giannis,NBA,2023,FALSE,East,Giannis
Jrue Holiday,Team Giannis,NBA,2023,FALSE,East,Giannis
Damian Lillard,Team Giannis,NBA,2023,FALSE,East,Giannis
Lauri Markkanen,Team Giannis,NBA,2023,FALSE,East,Giannis
Donovan Mitchell,Team Giannis,NBA,2023,FALSE,East,Giannis
Ja Morant,Team Giannis,NBA,2023,FALSE,East,Giannis
Domantas Sabonis,Team Giannis,NBA,2023,FALSE,East,Giannis
Pascal Siakam,Team Giannis,NBA,2023,FALSE,East,Giannis
Jayson Tatum,Team Giannis,NBA,2023,FALSE,East,Giannis
Jaylen Brown,Team LeBron,NBA,2023,FALSE,West,LeBron
Stephen Curry,Team LeBron,NBA,2023,FALSE,West,LeBron
Luka Dončić,Team LeBron,NBA,2023,FALSE,West,LeBron
Anthony Edwards,Team LeBron,NBA,2023,FALSE,West,LeBron
Joel Embiid,Team LeBron,NBA,2023,FALSE,West,LeBron
De'Aaron Fox,Team LeBron,NBA,2023,FALSE,West,LeBron
Paul George,Team LeBron,NBA,2023,FALSE,West,LeBron
Tyrese Haliburton,Team LeBron,NBA,2023,FALSE,West,LeBron
Kyrie Irving,Team LeBron,NBA,2023,FALSE,West,LeBron
Jaren Jackson Jr.,Team LeBron,NBA,2023,FALSE,West,LeBron
LeBron James,Team LeBron,NBA,2023,FALSE,West,LeBron
Nikola Jokić,Team LeBron,NBA,2023,FALSE,West,LeBron
Julius Randle,Team LeBron,NBA,2023,FALSE,West,LeBron
Zion Williamson,Team LeBron,NBA,2023,FALSE,West,LeBron
