season,team,pts_per_game
2025,Atlanta Hawks,116.1
2025,Boston Celtics,121.2
2025,Brooklyn Nets,111.8
2025,Chicago Bulls,118.5
2025,Charlotte Hornets,107.5
2025,Cleveland Cavaliers,122.4
2025,Dallas Mavericks,117
2025,Denver Nuggets,117.8
2025,Detroit Pistons,109.8
2025,Golden State Warriors,116.2
2025,Houston Rockets,114.4
2025,Indiana Pacers,114.4
2025,Los Angeles Clippers,108.5
2025,Los Angeles Lakers,114.4
2025,Memphis Grizzlies,121
2025,Miami Heat,111
2025,Milwaukee Bucks,113.3
2025,Minnesota Timberwolves,111.2
2025,New Orleans Pelicans,103.8
2025,New York Knicks,117.8
2025,Oklahoma City Thunder,113.9
2025,Orlando Magic,108.4
2025,Philadelphia 76ers,105.1
2025,Phoenix Suns,113.2
2025,Portland Trail Blazers,106.1
2025,Sacramento Kings,113.7
2025,San Antonio Spurs,110.3
2025,Toronto Raptors,112.5
2025,Utah Jazz,108.6
2025,Washington Wizards,108.1
2025,League Average,112.9
2024,Atlanta Hawks,118.3
2024,Boston Celtics,120.6
2024,Brooklyn Nets,110.4
2024,Chicago Bulls,112.3
2024,Charlotte Hornets,106.6
2024,Cleveland Cavaliers,112.6
2024,Dallas Mavericks,117.9
2024,Denver Nuggets,114.9
2024,Detroit Pistons,109.9
2024,Golden State Warriors,117.8
2024,Houston Rockets,114.3
2024,Indiana Pacers,123.3
2024,Los Angeles Clippers,115.6
2024,Los Angeles Lakers,118
2024,Memphis Grizzlies,105.8
2024,Miami Heat,110.1
2024,Milwaukee Bucks,119
2024,Minnesota Timberwolves,113
2024,New Orleans Pelicans,115.1
2024,New York Knicks,112.8
2024,Oklahoma City Thunder,120.1
2024,Orlando Magic,110.5
2024,Philadelphia 76ers,114.6
2024,Phoenix Suns,116.2
2024,Portland Trail Blazers,106.4
2024,Sacramento Kings,116.6
2024,San Antonio Spurs,112.1
2024,Toronto Raptors,112.4
2024,Utah Jazz,115.7
2024,Washington Wizards,113.7
2024,League Average,114.2
2023,Atlanta Hawks,118.4
2023,Boston Celtics,117.9
2023,Brooklyn Nets,113.4
2023,Chicago Bulls,113.1
2023,Charlotte Hornets,111
2023,Cleveland Cavaliers,112.3
2023,Dallas Mavericks,114.2
2023,Denver Nuggets,115.8
