season,pts_per_game,name
1947,,Charlotte Hornets
1948,,Charlotte Hornets
1949,,Charlotte Hornets
1950,,Charlotte Hornets
1951,,Charlotte Hornets
1952,,Charlotte Hornets
1953,,Charlotte Hornets
1954,,Charlotte Hornets
1955,,Charlotte Hornets
1956,,Charlotte Hornets
1957,,Charlotte Hornets
1958,,Charlotte Hornets
1959,,Charlotte Hornets
1960,,Charlotte Hornets
1961,,Charlotte Hornets
1962,,Charlotte Hornets
1963,,Charlotte Hornets
1964,,Charlotte Hornets
1965,,Charlotte Hornets
1966,,Charlotte Hornets
1967,,Charlotte Hornets
1968,,Charlotte Hornets
1969,,Charlotte Hornets
1970,,Charlotte Hornets
1971,,Charlotte Hornets
1972,,Charlotte Hornets
1973,,Charlotte Hornets
1974,,Charlotte Hornets
1975,,Charlotte Hornets
1976,,Charlotte Hornets
1977,,Charlotte Hornets
1978,,Charlotte Hornets
1979,,Charlotte Hornets
1980,,Charlotte Hornets
1981,,Charlotte Hornets
1982,,Charlotte Hornets
1983,,Charlotte Hornets
1984,,Charlotte Hornets
1985,,Charlotte Hornets
1986,,Charlotte Hornets
1987,,Charlotte Hornets
1988,,Charlotte Hornets
1989,104.5,Charlotte Hornets
1990,100.4,Charlotte Hornets
1991,102.8,Charlotte Hornets
1992,109.5,Charlotte Hornets
1993,110.1,Charlotte Hornets
1994,106.5,Charlotte Hornets
1995,100.6,Charlotte Hornets
1996,102.8,Charlotte Hornets
1997,98.9,Charlotte Hornets
1998,96.6,Charlotte Hornets
1999,92.9,Charlotte Hornets
2000,98.4,Charlotte Hornets
2001,91.9,Charlotte Hornets
2002,93.9,Charlotte Hornets
2003,,Charlotte Hornets
2004,,Charlotte Hornets
2005,94.3,Charlotte Hornets
2006,96.9,Charlotte Hornets
2007,96.9,Charlotte Hornets
2008,97.1,Charlotte Hornets
2009,93.6,Charlotte Hornets
2010,95.3,Charlotte Hornets
2011,93.3,Charlotte Hornets
2012,87.0,Charlotte Hornets
2013,93.4,Charlotte Hornets
2014,96.9,Charlotte Hornets
2015,94.2,Charlotte Hornets
2016,103.4,Charlotte Hornets
2017,104.9,Charlotte Hornets
2018,108.2,Charlotte Hornets
2019,110.7,Charlotte Hornets
2020,102.9,Charlotte Hornets
2021,109.5,Charlotte Hornets
2022,115.3,Charlotte Hornets
2023,111.0,Charlotte Hornets
2024,106.6,Charlotte Hornets
2025,107.5,Charlotte Hornets
1947,,New Orleans Pelicans
1948,,New Orleans Pelicans
1949,,New Orleans Pelicans
1950,,New Orleans Pelicans
1951,,New Orleans Pelicans
1952,,New Orleans Pelicans
1953,,New Orleans Pelicans
1954,,New Orleans Pelicans
1955,,New Orleans Pelicans
1956,,New Orleans Pelicans
1957,,New Orleans Pelicans
1958,,New Orleans Pelicans
1959,,New Orleans Pelicans
1960,,New Orleans Pelicans
1961,,New Orleans Pelicans
1962,,New Orleans Pelicans
1963,,New Orleans Pelicans
1964,,New Orleans Pelicans
1965,,New Orleans Pelicans
1966,,New Orleans Pelicans
1967,,New Orleans Pelicans
1968,,New Orleans Pelicans
1969,,New Orleans Pelicans
1970,,New Orleans Pelicans
1971,,New Orleans Pelicans
1972,,New Orleans Pelicans
1973,,New Orleans Pelicans
1974,,New Orleans Pelicans
1975,,New Orleans Pelicans
1976,,New Orleans Pelicans
1977,,New Orleans Pelicans
1978,,New Orleans Pelicans
1979,,New Orleans Pelicans
1980,,New Orleans Pelicans
1981,,New Orleans Pelicans
1982,,New Orleans Pelicans
1983,,New Orleans Pelicans
1984,,New Orleans Pelicans
1985,,New Orleans Pelicans
1986,,New Orleans Pelicans
1987,,New Orleans Pelicans
1988,,New Orleans Pelicans
1989,,New Orleans Pelicans
1990,,New Orleans Pelicans
1991,,New Orleans Pelicans
1992,,New Orleans Pelicans
1993,,New Orleans Pelicans
1994,,New Orleans Pelicans
1995,,New Orleans Pelicans
1996,,New Orleans Pelicans
1997,,New Orleans Pelicans
1998,,New Orleans Pelicans
1999,,New Orleans Pelicans
2000,,New Orleans Pelicans
2001,,New Orleans Pelicans
2002,,New Orleans Pelicans
2003,93.9,New Orleans Pelicans
2004,91.8,New Orleans Pelicans
2005,88.4,New Orleans Pelicans
2006,92.8,New Orleans Pelicans
2007,95.5,New Orleans Pelicans
2008,100.9,New Orleans Pelicans
2009,95.8,New Orleans Pelicans
2010,100.2,New Orleans Pelicans
2011,94.9,New Orleans Pelicans
2012,89.6,New Orleans Pelicans
2013,94.1,New Orleans Pelicans
2014,99.7,New Orleans Pelicans
2015,99.4,New Orleans Pelicans
2016,102.7,New Orleans Pelicans
2017,104.3,New Orleans Pelicans
2018,111.7,New Orleans Pelicans
2019,115.4,New Orleans Pelicans
2020,115.8,New Orleans Pelicans
2021,114.6,New Orleans Pelicans
2022,109.3,New Orleans Pelicans
2023,114.4,New Orleans Pelicans
2024,115.1,New Orleans Pelicans
2025,103.8,New Orleans Pelicans
1947,,Brooklyn Nets
1948,,Brooklyn Nets
1949,,Brooklyn Nets
1950,,Brooklyn Nets
