season,team,off_avg,def_avg,total_player
2025,Milwaukee Bucks,106.76470588235294,113.82352941176471,17
2025,Denver Nuggets,93.6470588235294,113.52941176470588,17
2025,Houston Rockets,112.375,104.125,16
2025,Indiana Pacers,106.55555555555556,117.88888888888889,18
2025,Oklahoma City Thunder,113,104.22222222222223,18
2025,Chicago Bulls,117.41176470588235,119.17647058823529,17
2025,Philadelphia 76ers,109.11764705882354,114.76470588235294,17
2025,Boston Celtics,107.5625,109.1875,16
2025,Miami Heat,112.26666666666667,110.46666666666667,15
2025,Sacramento Kings,112.5625,113.625,16
2025,Washington Wizards,116.1875,120.5,16
2025,Detroit Pistons,107.875,113.75,16
2025,Los Angeles Clippers,112.14285714285714,108.07142857142857,14
2025,Golden State Warriors,120.4375,107.9375,16
2025,Portland Trail Blazers,NA,113.75,16
2025,Orlando Magic,114.05882352941177,107.29411764705883,17
2025,Los Angeles Lakers,NA,118.4,15
2025,Minnesota Timberwolves,110,112.57142857142857,14
2025,New Orleans Pelicans,105.52631578947368,118.47368421052632,19
2025,New York Knicks,113.38461538461539,117.92307692307692,13
2025,Brooklyn Nets,117,118.4375,16
2025,San Antonio Spurs,99.44444444444444,113,18
2025,Atlanta Hawks,106.8125,117.1875,16
2025,Phoenix Suns,111,116.70588235294117,17
2025,Memphis Grizzlies,115.47058823529412,109,17
2025,Charlotte Hornets,107.25,113.875,16
2025,Dallas Mavericks,104.58823529411765,112.17647058823529,17
2025,Utah Jazz,107.29411764705883,118.47058823529412,17
2025,Toronto Raptors,114.125,116,16
2025,Cleveland Cavaliers,121.66666666666667,111.66666666666667,15
2024,Milwaukee Bucks,NA,115.80952380952381,21
2024,Dallas Mavericks,114.68181818181819,115.45454545454545,22
2024,Atlanta Hawks,114.21052631578948,119.63157894736842,19
2024,Denver Nuggets,116.6470588235294,112.88235294117646,17
2024,Houston Rockets,117.88235294117646,112.94117647058823,17
2024,Indiana Pacers,114.18181818181819,118.54545454545455,22
2024,Oklahoma City Thunder,113.0909090909091,113.86363636363636,22
2024,Chicago Bulls,107,116,18
2024,Orlando Magic,111.66666666666667,111.61111111111111,18
2024,Boston Celtics,124.42105263157895,110.89473684210526,19
2024,Detroit Pistons,NA,119.48387096774194,31
2024,New York Knicks,103,114.23076923076923,26
2024,Charlotte Hornets,109.07692307692308,120.1923076923077,26
2024,Los Angeles Lakers,103.57142857142857,116.61904761904762,21
2024,Sacramento Kings,113.05,115.65,20
2024,Miami Heat,109.42857142857143,112.76190476190476,21
2024,Los Angeles Clippers,113.23809523809524,115.42857142857143,21
2024,Golden State Warriors,116.11111111111111,115.11111111111111,18
2024,Portland Trail Blazers,105.13636363636364,117.27272727272727,22
2024,Minnesota Timberwolves,NA,109.3157894736842,19
2024,Washington Wizards,106.79166666666667,116.45833333333333,24
2024,Brooklyn Nets,109.9047619047619,115.95238095238095,21
2024,Memphis Grizzlies,101.42424242424242,114.48484848484848,33
2024,San Antonio Spurs,119.1,116.65,20
2024,Phoenix Suns,111.45454545454545,114.68181818181819,22
2024,New Orleans Pelicans,100.15,113.4,20
2024,Utah Jazz,116.19047619047619,120.57142857142857,21
2024,Toronto Raptors,NA,118.3,30
2024,Philadelphia 76ers,NA,114.35714285714286,28
2024,Cleveland Cavaliers,109.22222222222223,113.88888888888889,18
2023,Milwaukee Bucks,113.52380952380952,112.85714285714286,21
2023,Minnesota Timberwolves,118.95,114.15,20
2023,Dallas Mavericks,113.08695652173913,117.26086956521739,23
2023,Atlanta Hawks,112.9,116.3,20
2023,Denver Nuggets,112.33333333333333,114.38888888888889,18
2023,Indiana Pacers,112.1,117.55,20
2023,Oklahoma City Thunder,114.57894736842105,114.26315789473684,19
2023,Orlando Magic,112.55,113.6,20
2023,Boston Celtics,114.94444444444444,111.55555555555556,18
2023,Detroit Pistons,114.86363636363636,115.68181818181819,22
2023,Chicago Bulls,116.94444444444444,112.27777777777777,18
2023,Sacramento Kings,108.7,116.7,20
2023,San Antonio Spurs,107.08695652173913,119.95652173913044,23
2023,Brooklyn Nets,100.88,114.12,25
2023,Houston Rockets,113.27777777777777,119.55555555555556,18
2023,Los Angeles Clippers,114.0952380952381,115.04761904761905,21
2023,Golden State Warriors,113.77777777777777,114.38888888888889,18
2023,Portland Trail Blazers,109.91304347826087,118.47826086956522,23
2023,Los Angeles Lakers,112.45833333333333,113.54166666666667,24
2023,Washington Wizards,108.1304347826087,114.91304347826087,23
2023,Miami Heat,110.85,112.85,20
2023,Phoenix Suns,113.95,113.1,20
2023,Memphis Grizzlies,111.6842105263158,111.52631578947368,19
2023,New Orleans Pelicans,114.29411764705883,112.76470588235294,17
2023,Charlotte Hornets,109.42105263157895,115.73684210526316,19
2023,New York Knicks,115.29411764705883,114.76470588235294,17
2023,Cleveland Cavaliers,115.22222222222223,110.16666666666667,18
2023,Toronto Raptors,119.5,114.6,20
2023,Utah Jazz,111.6086956521739,117,23
2023,Philadelphia 76ers,NA,113,21
2022,Denver Nuggets,112,113.04545454545455,22
2022,Philadelphia 76ers,109.56521739130434,108.91304347826087,23
2022,Washington Wizards,NA,114.3103448275862,29
2022,Phoenix Suns,100.6086956521739,105.30434782608695,23
2022,Boston Celtics,NA,108.75,28
2022,Oklahoma City Thunder,101.84615384615384,113.53846153846153,26
2022,Sacramento Kings,NA,115.88461538461539,26
2022,Orlando Magic,100.54545454545455,113.5,22
2022,Indiana Pacers,NA,117.28571428571429,28
2022,New York Knicks,NA,109.8695652173913,23
2022,Chicago Bulls,116.5,112.18181818181819,22
2022,New Orleans Pelicans,109.04545454545455,113.36363636363636,22
2022,Houston Rockets,107.84210526315789,116.21052631578948,19
2022,Los Angeles Clippers,117.26086956521739,110.34782608695652,23
2022,Brooklyn Nets,NA,111.625,24
2022,Golden State Warriors,112.82352941176471,107.29411764705883,17
2022,Portland Trail Blazers,108.29629629629629,117,27
2022,Los Angeles Lakers,103.16,112.6,25
2022,Minnesota Timberwolves,NA,112.27777777777777,18
2022,San Antonio Spurs,109.125,113.125,24
2022,Toronto Raptors,NA,110.78260869565217,23
2022,Charlotte Hornets,109.10526315789474,114.47368421052632,19
2022,Miami Heat,112.54545454545455,109.68181818181819,22
2022,Dallas Mavericks,102.14814814814815,109.55555555555556,27
2022,Milwaukee Bucks,NA,111.82758620689656,29
2022,Atlanta Hawks,111.79166666666667,115.58333333333333,24
2022,Utah Jazz,107.125,111.33333333333333,24
2022,Memphis Grizzlies,107.95652173913044,109.82608695652173,23
2022,Cleveland Cavaliers,108.46153846153847,110.11538461538461,26
2022,Detroit Pistons,95.55555555555556,113.85185185185185,27
2021,Orlando Magic,105.82142857142857,114.78571428571429,28
2021,Denver Nuggets,NA,112.68181818181819,22
2021,Indiana Pacers,106.7,112.7,20
2021,Boston Celtics,112.42857142857143,112.57142857142857,21
2021,Phoenix Suns,112.52941176470588,111.70588235294117,17
2021,Chicago Bulls,108.31818181818181,111.36363636363636,22
2021,Oklahoma City Thunder,106.31818181818181,114.22727272727273,22
2021,New York Knicks,105.21052631578948,108.52631578947368,19
2021,Golden State Warriors,107.94444444444444,109,18
2021,Los Angeles Lakers,109.10526315789474,106.78947368421052,19
2021,Toronto Raptors,115.54545454545455,113.27272727272727,22
2021,Washington Wizards,105.9047619047619,113.0952380952381,21
2021,Brooklyn Nets,106.85185185185185,113.62962962962963,27
2021,Los Angeles Clippers,113.3,111,20
2021,Cleveland Cavaliers,103.2,113.08,25
2021,Miami Heat,113.57142857142857,111.19047619047619,21
2021,Portland Trail Blazers,111.88235294117646,116,17
2021,Minnesota Timberwolves,104,115.4375,16
2021,Houston Rockets,102.33333333333333,114.76666666666667,30
2021,Philadelphia 76ers,100.73913043478261,108.65217391304348,23
2021,Milwaukee Bucks,110.9090909090909,112.13636363636364,22
2021,Charlotte Hornets,111.29411764705883,114.11764705882354,17
2021,Detroit Pistons,108.0952380952381,113,21
2021,Dallas Mavericks,109.94736842105263,112.6842105263158,19
2021,Atlanta Hawks,108.94444444444444,113.22222222222223,18
2021,Utah Jazz,114.16666666666667,108.61111111111111,18
2021,Memphis Grizzlies,109,110.72222222222223,18
2021,New Orleans Pelicans,99.71428571428571,114.66666666666667,21
2021,Sacramento Kings,108.79166666666667,117.16666666666667,24
2021,San Antonio Spurs,109.61111111111111,113.33333333333333,18
2020,Orlando Magic,102.78947368421052,109.21052631578948,19
2020,Indiana Pacers,104.17647058823529,108.17647058823529,17
2020,Oklahoma City Thunder,95.5,109.66666666666667,18
2020,Chicago Bulls,112.88235294117646,110.3529411764706,17
2020,Washington Wizards,110.91304347826087,115.95652173913044,23
2020,Philadelphia 76ers,105.57894736842105,108.89473684210526,19
2020,Golden State Warriors,103.4090909090909,114.13636363636364,22
2020,Los Angeles Lakers,105.1,107.95,20
2020,Atlanta Hawks,98.0952380952381,114.33333333333333,21
2020,Sacramento Kings,106.6086956521739,111.04347826086956,23
2020,Cleveland Cavaliers,NA,112.85714285714286,21
2020,Minnesota Timberwolves,103.58333333333333,113.33333333333333,24
2020,New York Knicks,106.47058823529412,113.88235294117646,17
2020,Los Angeles Clippers,113.3,108.25,20
2020,Detroit Pistons,105,113.36363636363636,22
2020,Miami Heat,104.71428571428571,109.61904761904762,21
2020,Portland Trail Blazers,110.15789473684211,114.05263157894737,19
2020,Memphis Grizzlies,108.38095238095238,110.66666666666667,21
2020,Dallas Mavericks,113,111.73684210526316,19
2020,Phoenix Suns,105.15789473684211,111.84210526315789,19
2020,Houston Rockets,105.47619047619048,109.47619047619048,21
2020,Charlotte Hornets,101.625,112.8125,16
2020,Utah Jazz,103.15,110.1,20
2020,Denver Nuggets,110.14285714285714,110.80952380952381,21
2020,Boston Celtics,110.52941176470588,105.94117647058823,17
2020,New Orleans Pelicans,107.05882352941177,112.94117647058823,17
2020,Milwaukee Bucks,110.17647058823529,103.3529411764706,17
2020,San Antonio Spurs,108.77777777777777,113.72222222222223,18
2020,Brooklyn Nets,107.45833333333333,110.08333333333333,24
2020,Toronto Raptors,113.11111111111111,105.11111111111111,18
2019,Orlando Magic,110.88235294117646,108,17
2019,Indiana Pacers,102.52941176470588,106.23529411764706,17
2019,Oklahoma City Thunder,92.66666666666667,109.16666666666667,18
2019,Boston Celtics,117,108.58823529411765,17
2019,Portland Trail Blazers,108.88888888888889,111,18
2019,Brooklyn Nets,110.3157894736842,109.52631578947368,19
2019,Utah Jazz,108.66666666666667,106.55555555555556,18
2019,Cleveland Cavaliers,NA,118.14814814814815,27
2019,Sacramento Kings,107.85,111.55,20
2019,Los Angeles Lakers,104.0909090909091,109.68181818181819,22
2019,Atlanta Hawks,115.72727272727273,114.4090909090909,22
2019,Golden State Warriors,115.52941176470588,109.76470588235294,17
2019,New York Knicks,105.56521739130434,113.91304347826087,23
2019,Philadelphia 76ers,111.15384615384616,110.15384615384616,26
2019,Detroit Pistons,103.65,108.45,20
2019,Memphis Grizzlies,101.17857142857143,109.57142857142857,28
2019,New Orleans Pelicans,106.05,113.55,20
2019,Minnesota Timberwolves,110.0952380952381,113.85714285714286,21
2019,Chicago Bulls,NA,113.77272727272727,22
2019,Washington Wizards,110.8,113.64,25
2019,Houston Rockets,108.17391304347827,111.43478260869566,23
2019,Los Angeles Clippers,105.68181818181819,111.4090909090909,22
2019,Miami Heat,102.38888888888889,108.55555555555556,18
2019,Charlotte Hornets,105.23529411764706,113.70588235294117,17
2019,Milwaukee Bucks,109.66666666666667,105.70833333333333,24
2019,Denver Nuggets,108.05555555555556,109.88888888888889,18
2019,San Antonio Spurs,110,110.375,16
2019,Toronto Raptors,109.36363636363636,107.13636363636364,22
2019,Dallas Mavericks,NA,111.28571428571429,21
2019,Phoenix Suns,NA,114.29166666666667,24
2018,Minnesota Timberwolves,119.125,111.1875,16
2018,Orlando Magic,102.89473684210526,110.63157894736842,19
2018,Dallas Mavericks,97.17391304347827,109.65217391304348,23
2018,Houston Rockets,94.83333333333333,106.79166666666667,24
2018,Boston Celtics,96,103.35,20
2018,Indiana Pacers,NA,109,19
2018,Portland Trail Blazers,114.75,103.5,16
2018,Phoenix Suns,104,112.04545454545455,22
2018,Utah Jazz,111.33333333333333,105.0952380952381,21
2018,Los Angeles Lakers,101.41666666666667,109,24
2018,Toronto Raptors,107.11111111111111,106.22222222222223,18
2018,Brooklyn Nets,109.5909090909091,111.31818181818181,22
2018,Philadelphia 76ers,102.26086956521739,106.65217391304348,23
2018,Detroit Pistons,104.81818181818181,108.5,22
2018,Golden State Warriors,106.70588235294117,106.47058823529412,17
2018,Oklahoma City Thunder,108.6470588235294,108.05882352941177,17
2018,Memphis Grizzlies,102.875,110.83333333333333,24
2018,Atlanta Hawks,98.68181818181819,111.77272727272727,22
2018,Cleveland Cavaliers,108.31818181818181,112.4090909090909,22
2018,New Orleans Pelicans,101.21739130434783,110.08695652173913,23
2018,Chicago Bulls,94.19047619047619,111.66666666666667,21
2018,Los Angeles Clippers,108.76190476190476,109.66666666666667,21
2018,Miami Heat,102.63157894736842,107.42105263157895,19
2018,Sacramento Kings,102.27777777777777,111.22222222222223,18
2018,Washington Wizards,108.46666666666667,108.6,15
2018,Milwaukee Bucks,106.79166666666667,111.125,24
2018,San Antonio Spurs,106.17647058823529,104.47058823529412,17
2018,Charlotte Hornets,109.76470588235294,109.05882352941177,17
2018,New York Knicks,99.23809523809524,111,21
2018,Denver Nuggets,NA,111.44444444444444,18
2017,Dallas Mavericks,97.54166666666667,108.70833333333333,24
2017,Indiana Pacers,103.5625,109.625,16
2017,Orlando Magic,95.78947368421052,111.3157894736842,19
2017,Charlotte Hornets,105,109.52631578947368,19
2017,Minnesota Timberwolves,103.9375,111.25,16
2017,Boston Celtics,112.53333333333333,109,15
2017,Portland Trail Blazers,106.66666666666667,110.53333333333333,15
2017,Los Angeles Clippers,104.2,106.73333333333333,15
2017,Phoenix Suns,105.72222222222223,112.94444444444444,18
2017,Utah Jazz,108.73333333333333,105.13333333333334,15
