season,team,win,loss,n_games,pts_diff_per_game,playoffs
2025,Atlanta Hawks,10,11,21,-3.24,FALSE
2025,Boston Celtics,16,3,19,10.58,FALSE
2025,Brooklyn Nets,9,11,20,-3,FALSE
2025,Chicago Bulls,8,13,21,-5.76,FALSE
2025,Charlotte Hornets,6,14,20,-4.6,FALSE
2025,Cleveland Cavaliers,17,3,20,9.8,FALSE
2025,Dallas Mavericks,12,8,20,6.5,FALSE
2025,Denver Nuggets,10,7,17,1.94,FALSE
2025,Detroit Pistons,9,13,22,-1.86,FALSE
2025,Golden State Warriors,12,7,19,6.37,FALSE
2025,Houston Rockets,14,6,20,8.5,FALSE
2025,Indiana Pacers,9,11,20,-3.75,FALSE
2025,Los Angeles Clippers,12,9,21,2.19,FALSE
2025,Los Angeles Lakers,11,8,19,-1.32,FALSE
2025,Memphis Grizzlies,13,7,20,8.45,FALSE
2025,Miami Heat,9,8,17,1.59,FALSE
2025,Milwaukee Bucks,10,9,19,0.89,FALSE
2025,Minnesota Timberwolves,9,10,19,0.84,FALSE
2025,New Orleans Pelicans,4,16,20,-11.75,FALSE
2025,New York Knicks,11,8,19,4.95,FALSE
2025,Oklahoma City Thunder,15,4,19,10.68,FALSE
2025,Orlando Magic,14,7,21,5.67,FALSE
2025,Philadelphia 76ers,4,14,18,-7,FALSE
2025,Phoenix Suns,11,8,19,-0.74,FALSE
2025,Portland Trail Blazers,8,12,20,-7.55,FALSE
2025,Sacramento Kings,9,11,20,0.35,FALSE
2025,San Antonio Spurs,10,9,19,0.26,FALSE
2025,Toronto Raptors,5,15,20,-4.35,FALSE
2025,Utah Jazz,4,15,19,-9.95,FALSE
2025,Washington Wizards,2,16,18,-15,FALSE
2024,Atlanta Hawks,36,46,82,-2.18,FALSE
2024,Boston Celtics,64,18,82,11.34,TRUE
2024,Brooklyn Nets,32,50,82,-2.89,FALSE
2024,Chicago Bulls,39,43,82,-1.44,FALSE
2024,Charlotte Hornets,21,61,82,-10.24,FALSE
2024,Cleveland Cavaliers,48,34,82,2.41,TRUE
2024,Dallas Mavericks,50,32,82,2.21,TRUE
2024,Denver Nuggets,57,25,82,5.26,TRUE
2024,Detroit Pistons,14,68,82,-9.11,FALSE
2024,Golden State Warriors,46,36,82,2.61,FALSE
2024,Houston Rockets,41,41,82,1.12,FALSE
2024,Indiana Pacers,47,35,82,3.05,TRUE
2024,Los Angeles Clippers,51,31,82,3.28,TRUE
2024,Los Angeles Lakers,47,35,82,0.6,TRUE
2024,Memphis Grizzlies,27,55,82,-7,FALSE
2024,Miami Heat,46,36,82,1.76,TRUE
2024,Milwaukee Bucks,49,33,82,2.62,TRUE
2024,Minnesota Timberwolves,56,26,82,6.45,TRUE
2024,New Orleans Pelicans,49,33,82,4.41,TRUE
2024,New York Knicks,50,32,82,4.59,TRUE
2024,Oklahoma City Thunder,57,25,82,7.41,TRUE
2024,Orlando Magic,47,35,82,2.02,TRUE
2024,Philadelphia 76ers,47,35,82,3.05,TRUE
2024,Phoenix Suns,49,33,82,3.06,TRUE
2024,Portland Trail Blazers,21,61,82,-9.02,FALSE
2024,Sacramento Kings,46,36,82,1.74,FALSE
2024,San Antonio Spurs,22,60,82,-6.49,FALSE
2024,Toronto Raptors,25,57,82,-6.44,FALSE
2024,Utah Jazz,31,51,82,-4.89,FALSE
2024,Washington Wizards,15,67,82,-9.29,FALSE
2023,Atlanta Hawks,41,41,82,0.29,FALSE
2023,Boston Celtics,57,25,82,6.52,FALSE
2023,Brooklyn Nets,45,37,82,0.85,FALSE
2023,Chicago Bulls,40,42,82,1.29,FALSE
2023,Charlotte Hornets,27,55,82,-6.24,FALSE
2023,Cleveland Cavaliers,51,31,82,5.38,FALSE
2023,Dallas Mavericks,38,44,82,0.07,FALSE
2023,Denver Nuggets,53,29,82,3.33,FALSE
2023,Detroit Pistons,17,65,82,-8.22,FALSE
2023,Golden State Warriors,44,38,82,1.8,FALSE
2023,Houston Rockets,22,60,82,-7.85,FALSE
2023,Indiana Pacers,35,47,82,-3.18,FALSE
2023,Los Angeles Clippers,44,38,82,0.5,FALSE
2023,Los Angeles Lakers,43,39,82,0.57,FALSE
2023,Memphis Grizzlies,51,31,82,3.94,FALSE
2023,Miami Heat,44,38,82,-0.32,FALSE
2023,Milwaukee Bucks,58,24,82,3.63,FALSE
2023,Minnesota Timberwolves,42,40,82,-0.04,FALSE
2023,New Orleans Pelicans,42,40,82,1.89,FALSE
2023,New York Knicks,47,35,82,2.93,FALSE
2023,Oklahoma City Thunder,40,42,82,1.09,FALSE
2023,Orlando Magic,34,48,82,-2.56,FALSE
2023,Philadelphia 76ers,54,28,82,4.32,FALSE
2023,Phoenix Suns,45,37,82,2.07,FALSE
2023,Portland Trail Blazers,33,49,82,-4.01,FALSE
2023,Sacramento Kings,48,34,82,2.65,FALSE
2023,San Antonio Spurs,22,60,82,-10.04,FALSE
2023,Toronto Raptors,41,41,82,1.48,FALSE
2023,Utah Jazz,37,45,82,-0.94,FALSE
2023,Washington Wizards,35,47,82,-1.21,FALSE
2022,Atlanta Hawks,43,39,82,1.56,TRUE
2022,Boston Celtics,51,31,82,7.28,TRUE
2022,Brooklyn Nets,44,38,82,0.78,TRUE
2022,Chicago Bulls,46,36,82,-0.39,TRUE
2022,Charlotte Hornets,43,39,82,0.44,FALSE
2022,Cleveland Cavaliers,44,38,82,2.12,FALSE
2022,Dallas Mavericks,52,30,82,3.3,TRUE
2022,Denver Nuggets,48,34,82,2.3,TRUE
2022,Detroit Pistons,23,59,82,-7.72,FALSE
2022,Golden State Warriors,53,29,82,5.54,TRUE
2022,Houston Rockets,20,62,82,-8.48,FALSE
2022,Indiana Pacers,25,57,82,-3.48,FALSE
2022,Los Angeles Clippers,42,40,82,0.02,FALSE
2022,Los Angeles Lakers,33,49,82,-3.05,FALSE
2022,Memphis Grizzlies,56,26,82,5.68,TRUE
2022,Miami Heat,53,29,82,4.45,TRUE
2022,Milwaukee Bucks,51,31,82,3.35,TRUE
2022,Minnesota Timberwolves,46,36,82,2.63,TRUE
2022,New Orleans Pelicans,36,46,82,-0.99,TRUE
2022,New York Knicks,37,45,82,-0.12,FALSE
2022,Oklahoma City Thunder,24,58,82,-8.1,FALSE
2022,Orlando Magic,22,60,82,-8,FALSE
2022,Philadelphia 76ers,51,31,82,2.61,TRUE
2022,Phoenix Suns,64,18,82,7.5,TRUE
2022,Portland Trail Blazers,27,55,82,-8.88,FALSE
2022,Sacramento Kings,30,52,82,-5.46,FALSE
2022,San Antonio Spurs,34,48,82,0.12,FALSE
2022,Toronto Raptors,48,34,82,2.29,TRUE
2022,Utah Jazz,49,33,82,6.04,TRUE
2022,Washington Wizards,35,47,82,-3.38,FALSE
2021,Atlanta Hawks,41,31,72,2.32,TRUE
2021,Boston Celtics,36,36,72,1.46,TRUE
2021,Brooklyn Nets,48,24,72,4.5,TRUE
2021,Chicago Bulls,31,41,72,-0.89,FALSE
2021,Charlotte Hornets,33,39,72,-1.93,FALSE
2021,Cleveland Cavaliers,22,50,72,-8.44,FALSE
2021,Dallas Mavericks,42,30,72,2.26,TRUE
2021,Denver Nuggets,47,25,72,4.93,TRUE
2021,Detroit Pistons,20,52,72,-4.47,FALSE
2021,Golden State Warriors,39,33,72,1.06,FALSE
2021,Houston Rockets,17,55,72,-7.9,FALSE
