team
Atlanta Hawks
Boston Celtics
Brooklyn Nets
Chicago Bulls
Charlotte Hornets
Cleveland Cavaliers
Dallas Mavericks
Denver Nuggets
Detroit Pistons
Golden State Warriors
Houston Rockets
Indiana Pacers
Los Angeles Clippers
Los Angeles Lakers
Memphis Grizzlies
Miami Heat
Milwaukee Bucks
Minnesota Timberwolves
New Orleans Pelicans
New York Knicks
Oklahoma City Thunder
Orlando Magic
Philadelphia 76ers
Phoenix Suns
Portland Trail Blazers
Sacramento Kings
San Antonio Spurs
Toronto Raptors
Utah Jazz
Washington Wizards
League Average
Charlotte Bobcats
New Orleans Hornets
New Jersey Nets
Seattle Supersonics
New Orleans/Oklahoma City Hornets
Vancouver Grizzlies
Washington Bullets
Kansas City Kings
San Diego Clippers
New Orleans Jazz
Buffalo Braves
New York Nets
Kentucky Colonels
San Diego Sails
Spirits Of St. Louis
Utah Stars
Virginia Squires
Kansas City-Omaha Kings
Memphis Sounds
San Diego Conquistadors
Capital Bullets
Carolina Cougars
Denver Rockets
Memphis Tams
Baltimore Bullets
Dallas Chaparrals
Cincinnati Royals
The Floridians
Memphis Pros
Pittsburgh Condors
San Diego Rockets
San Francisco Warriors
Texas Chaparrals
Los Angeles Stars
Miami Floridians
New Orleans Buccaneers
Pittsburgh Pipers
Washington Capitols
Houston Mavericks
Minnesota Pipers
Oakland Oaks
Anaheim Amigos
Minnesota Muskies
New Jersey Americans
St. Louis Hawks
Chicago Zephyrs
Syracuse Nationals
Chicago Packers
Philadelphia Warriors
Minneapolis Lakers
Fort Wayne Pistons
Rochester Royals
Milwaukee Hawks
Indianapolis Olympians
Tri-Cities Blackhawks
Anderson Packers
Chicago Stags
Sheboygan Red Skins
St. Louis Bombers
Waterloo Hawks
Indianapolis Jets
Providence Steamrollers
Cleveland Rebels
Detroit Falcons
Pittsburgh Ironmen
Toronto Huskies
